Date,Total COVID-19 Patients,ICU Patients,Vent Patients,PPE,Capacity,Surge Capacity,Beds Occupied
11/28/2020,1585,370,149,0,16476,19771.2,12241
12/27/2020,2495,514,318,0,16476,19771.2,12635
11/06/2021,858,225,0,0,16476,19771.2,16476
10/23/2020,1012,233,113,0,16476,19771.2,13177
07/01/2020,892,205,95,0,16476,19771.2,12830
11/04/2020,1041,231,102,0,16476,19771.2,13152
01/10/2022,3681,567,0,0,16476,19771.2,16476
12/14/2021,1330,301,0,0,16476,19771.2,16476
08/07/2020,1372,284,159,0,16476,19771.2,13015
05/14/2020,1533,355,201,0,16476,19771.2,12116
06/12/2021,345,84,62,0,16476,19771.2,13152
05/29/2021,524,136,80,0,16476,19771.2,13245
02/19/2021,1671,329,204,0,16476,19771.2,13277
12/26/2021,1634,382,0,0,16476,19771.2,16476
06/16/2021,385,83,55,0,16476,19771.2,13117
11/13/2021,842,224,0,0,16476,19771.2,16476
06/29/2021,286,83,49,0,16476,19771.2,12921
08/17/2020,1173,281,158,1,16476,19771.2,12588
09/26/2021,2067,536,0,0,16476,19771.2,16476
07/25/2021,427,108,0,0,16476,19771.2,16476
08/11/2020,1293,280,148,1,16476,19771.2,12854
03/14/2022,444,97,0,0,16476,19771.2,16476
04/29/2021,960,237,138,0,16476,19771.2,13356
05/28/2021,514,131,78,0,16476,19771.2,13361
09/26/2020,924,202,111,0,16476,19771.2,13016
04/27/2022,200,35,0,0,16476,19771.2,16476
03/10/2022,530,112,0,0,16476,19771.2,16476
03/08/2022,635,131,0,0,16476,19771.2,16476
09/08/2020,1051,240,118,1,16476,19771.2,12512
07/06/2021,211,49,33,0,16476,19771.2,12791
12/03/2021,1041,241,0,0,16476,19771.2,16476
10/28/2020,1068,252,113,0,16476,19771.2,13171
09/28/2021,2111,552,0,0,16476,19771.2,16476
04/19/2020,1319,388,231,6,16476,19771.2,10623
11/09/2020,1127,214,98,0,16476,19771.2,12746
06/11/2021,367,101,67,0,16476,19771.2,13192
04/22/2021,1104,269,145,0,16476,19771.2,13425
05/15/2021,700,198,115,0,16476,19771.2,13139
09/25/2021,2099,534,0,0,16476,19771.2,16476
06/20/2020,880,267,133,0,16476,19771.2,12424
08/15/2021,1145,300,0,0,16476,19771.2,16476
09/12/2020,995,228,113,2,16476,19771.2,12997
10/30/2020,1065,231,107,0,16476,19771.2,13096
11/16/2020,1337,263,118,0,16476,19771.2,12897
07/10/2020,1006,234,102,0,16476,19771.2,13013
05/07/2021,829,211,121,0,16476,19771.2,13420
01/12/2022,3899,621,0,0,16476,19771.2,16476
05/06/2021,847,206,129,0,16476,19771.2,13472
12/19/2021,1418,357,0,0,16476,19771.2,16476
09/21/2020,995,217,106,0,16476,19771.2,12691
01/31/2021,2516,496,315,0,16476,19771.2,13155
05/25/2021,520,154,88,0,16476,19771.2,12904
03/09/2021,1172,244,149,0,16476,19771.2,12770
07/12/2021,222,54,32,0,16476,19771.2,12929
12/05/2020,1852,407,183,0,16476,19771.2,13164
04/21/2020,1331,403,251,4,16476,19771.2,11011
10/26/2020,1048,230,114,0,16476,19771.2,12824
12/09/2020,2004,429,197,0,16476,19771.2,13241
05/23/2021,543,160,88,0,16476,19771.2,12890
07/08/2021,221,52,31,0,16476,19771.2,13195
10/30/2021,1018,285,0,0,16476,19771.2,16476
04/23/2020,1379,400,249,3,16476,19771.2,11149
10/27/2020,1081,230,106,0,16476,19771.2,13047
01/01/2021,2754,557,322,0,16476,19771.2,13193
10/10/2021,1585,427,0,0,16476,19771.2,16476
03/14/2021,1063,223,135,0,16476,19771.2,12955
08/19/2021,1289,342,0,0,16476,19771.2,16476
06/07/2021,424,115,76,0,16476,19771.2,12991
04/29/2020,1566,387,222,1,16476,19771.2,11324
03/10/2021,1136,231,135,0,16476,19771.2,12856
08/18/2020,1253,300,163,0,16476,19771.2,12679
12/11/2021,1279,279,0,0,16476,19771.2,16476
03/17/2022,462,94,0,0,16476,19771.2,16476
09/20/2021,2158,549,0,0,16476,19771.2,16476
11/25/2020,1549,361,153,0,16476,19771.2,12943
10/02/2021,1881,495,0,0,16476,19771.2,16476
11/10/2021,877,237,0,0,16476,19771.2,16476
11/30/2021,992,236,0,0,16476,19771.2,16476
12/31/2021,2182,438,0,0,16476,19771.2,16476
04/15/2020,1298,394,234,6,16476,19771.2,10859
09/22/2020,940,213,113,0,16476,19771.2,12731
08/23/2020,1155,251,130,1,16476,19771.2,12561
12/13/2021,1278,292,0,0,16476,19771.2,16476
05/29/2020,1524,373,193,0,16476,19771.2,12369
10/31/2020,1026,228,104,0,16476,19771.2,13109
07/26/2021,415,108,0,0,16476,19771.2,16476
08/01/2021,489,126,0,0,16476,19771.2,16476
05/01/2020,1431,366,193,2,16476,19771.2,11295
10/25/2021,1230,320,0,0,16476,19771.2,16476
05/17/2020,1524,379,195,0,16476,19771.2,11926
05/23/2020,1384,330,213,0,16476,19771.2,12191
06/28/2020,818,235,107,0,16476,19771.2,12449
08/03/2021,643,153,0,0,16476,19771.2,16476
06/29/2020,796,225,101,0,16476,19771.2,12374
02/05/2021,2363,462,294,0,16476,19771.2,13165
07/26/2020,1174,268,143,0,16476,19771.2,12625
08/27/2020,1174,264,148,1,16476,19771.2,12968
05/14/2021,684,199,117,0,16476,19771.2,13186
06/06/2020,1171,324,169,0,16476,19771.2,12280
10/20/2020,937,194,98,0,16476,19771.2,12664
07/14/2020,1127,249,112,0,16476,19771.2,12705
01/24/2021,2850,546,329,0,16476,19771.2,13315
09/23/2020,916,215,113,0,16476,19771.2,13065
09/13/2021,2103,538,0,0,16476,19771.2,16476
07/23/2020,1218,257,136,1,16476,19771.2,12990
04/06/2022,241,42,0,0,16476,19771.2,16476
09/01/2020,1039,258,130,1,16476,19771.2,12821
10/07/2021,1669,460,0,0,16476,19771.2,16476
03/29/2022,326,61,0,0,16476,19771.2,16476
01/19/2022,3942,655,0,0,16476,19771.2,16476
07/15/2020,1081,246,113,0,16476,19771.2,12933
06/30/2021,264,73,46,0,16476,19771.2,13334
08/21/2020,1233,263,142,0,16476,19771.2,13059
04/20/2021,1092,280,127,0,16476,19771.2,13065
07/17/2021,286,69,33,0,16476,19771.2,13291
10/09/2021,1653,442,0,0,16476,19771.2,16476
11/04/2021,947,254,0,0,16476,19771.2,16476
09/05/2021,1941,473,0,0,16476,19771.2,16476
07/16/2020,1134,248,118,0,16476,19771.2,13014
11/08/2020,1090,202,90,0,16476,19771.2,12611
02/04/2022,2521,454,0,0,16476,19771.2,16476
09/04/2021,1987,474,0,0,16476,19771.2,16476
10/13/2021,1576,422,0,0,16476,19771.2,16476
08/17/2021,1191,309,0,0,16476,19771.2,16476
11/17/2020,1392,272,103,0,16476,19771.2,12920
05/15/2020,1511,362,195,0,16476,19771.2,12148
08/10/2020,1251,279,159,1,16476,19771.2,12775
12/05/2021,1080,250,0,0,16476,19771.2,16476
04/27/2020,1455,389,217,2,16476,19771.2,11043
04/02/2022,245,37,0,0,16476,19771.2,16476
