OBJECTID,DATE,Acute,ICU,Total
626,12/11/2021 10:00:00 AM,812,236,1048
627,12/12/2021 10:00:00 AM,800,248,1048
628,12/13/2021 10:00:00 AM,869,257,1126
629,12/14/2021 10:00:00 AM,897,276,1173
630,12/15/2021 10:00:00 AM,878,273,1151
631,12/16/2021 10:00:00 AM,898,269,1167
632,12/17/2021 10:00:00 AM,930,274,1204
633,12/18/2021 10:00:00 AM,979,288,1267
634,12/19/2021 10:00:00 AM,974,283,1257
635,12/20/2021 10:00:00 AM,1049,296,1345
636,12/21/2021 10:00:00 AM,1096,296,1392
637,12/22/2021 10:00:00 AM,1165,300,1465
638,12/23/2021 10:00:00 AM,1200,305,1505
639,12/24/2021 10:00:00 AM,1218,327,1545
640,12/25/2021 10:00:00 AM,1210,325,1535
641,12/26/2021 10:00:00 AM,1254,330,1584
642,12/27/2021 10:00:00 AM,1362,352,1714
643,12/28/2021 10:00:00 AM,1468,358,1826
644,12/29/2021 10:00:00 AM,1672,374,2046
645,12/30/2021 10:00:00 AM,1754,368,2122
646,12/31/2021 10:00:00 AM,1898,410,2308
647,01/01/2022 10:00:00 AM,2037,417,2454
648,01/02/2022 10:00:00 AM,2111,439,2550
649,01/03/2022 10:00:00 AM,2286,460,2746
650,01/04/2022 10:00:00 AM,2544,513,3057
651,01/05/2022 10:00:00 AM,2609,509,3118
652,01/06/2022 10:00:00 AM,2659,513,3172
653,01/07/2022 10:00:00 AM,2688,520,3208
654,01/08/2022 10:00:00 AM,2781,525,3306
655,01/09/2022 10:00:00 AM,2746,540,3286
656,01/10/2022 10:00:00 AM,2826,538,3364
657,01/11/2022 10:00:00 AM,2904,548,3452
658,01/12/2022 10:00:00 AM,2900,562,3462
659,01/13/2022 10:00:00 AM,2867,561,3428
660,01/14/2022 10:00:00 AM,2778,585,3363
661,01/15/2022 10:00:00 AM,2710,571,3281
662,01/16/2022 10:00:00 AM,2563,559,3122
663,01/17/2022 10:00:00 AM,2499,563,3062
664,01/18/2022 10:00:00 AM,2511,549,3060
665,01/19/2022 10:00:00 AM,2509,542,3051
666,01/20/2022 10:00:00 AM,2451,532,2983
667,01/21/2022 10:00:00 AM,2249,497,2746
668,01/22/2022 10:00:00 AM,2128,505,2633
669,01/23/2022 10:00:00 AM,1992,468,2460
670,01/24/2022 10:00:00 AM,1874,456,2330
671,01/25/2022 10:00:00 AM,1928,433,2361
672,01/26/2022 10:00:00 AM,1801,433,2234
673,01/27/2022 10:00:00 AM,1701,402,2103
674,01/28/2022 10:00:00 AM,1621,358,1979
675,01/29/2022 10:00:00 AM,1486,325,1811
676,01/30/2022 10:00:00 AM,1383,311,1694
677,01/31/2022 10:00:00 AM,1394,322,1716
678,02/01/2022 10:00:00 AM,1360,318,1678
679,02/02/2022 10:00:00 AM,1215,304,1519
680,02/03/2022 10:00:00 AM,1168,290,1458
681,02/04/2022 10:00:00 AM,1102,276,1378
682,02/05/2022 10:00:00 AM,998,251,1249
683,02/06/2022 10:00:00 AM,906,237,1143
684,02/07/2022 10:00:00 AM,924,229,1153
685,02/08/2022 10:00:00 AM,896,215,1111
686,02/09/2022 10:00:00 AM,847,197,1044
687,02/10/2022 10:00:00 AM,803,183,986
688,02/11/2022 10:00:00 AM,739,174,913
689,02/12/2022 10:00:00 AM,689,165,854
690,02/13/2022 10:00:00 AM,648,175,823
691,02/14/2022 10:00:00 AM,593,158,751
692,02/15/2022 10:00:00 AM,569,146,715
693,02/16/2022 10:00:00 AM,541,136,677
694,02/17/2022 10:00:00 AM,517,140,657
695,02/18/2022 10:00:00 AM,502,125,627
696,02/19/2022 10:00:00 AM,443,115,558
697,02/20/2022 10:00:00 AM,440,108,548
698,02/21/2022 10:00:00 AM,420,103,523
699,02/22/2022 10:00:00 AM,433,107,540
700,02/23/2022 10:00:00 AM,403,104,507
701,02/24/2022 10:00:00 AM,390,90,480
702,02/25/2022 10:00:00 AM,370,89,459
703,02/26/2022 10:00:00 AM,354,85,439
704,02/27/2022 10:00:00 AM,338,80,418
705,02/28/2022 10:00:00 AM,330,68,398
706,03/01/2022 10:00:00 AM,317,74,391
707,03/02/2022 10:00:00 AM,305,69,374
708,03/03/2022 10:00:00 AM,271,74,345
709,03/04/2022 10:00:00 AM,274,75,349
710,03/05/2022 10:00:00 AM,260,74,334
711,03/06/2022 10:00:00 AM,235,61,296
712,03/07/2022 10:00:00 AM,236,60,296
713,03/08/2022 10:00:00 AM,233,53,286
714,03/09/2022 10:00:00 AM,224,60,284
715,03/10/2022 10:00:00 AM,204,61,265
716,03/11/2022 10:00:00 AM,192,62,254
717,03/12/2022 10:00:00 AM,195,59,254
718,03/13/2022 11:00:00 AM,160,58,218
